# Training started at 20251028_045433
# Target episodes: 100000
# Device: cuda
# Format: episode, avg_score, max_score, epsilon, memory_size, time_last_100, time_total, time_remaining
# episode,avg_score,max_score,epsilon,memory_size,time_last_100,time_total,time_remaining
40600,4.11,18,0.0500,100000,4.12,2273.39,3325.96
40700,4.08,14,0.0500,100000,3.92,2277.32,3317.92
40800,4.54,14,0.0500,100000,4.38,2281.70,3310.56
40900,4.27,15,0.0500,100000,4.28,2285.98,3303.08
41000,4.79,19,0.0500,100000,4.58,2290.56,3296.03
41100,4.63,16,0.0500,100000,4.26,2294.81,3288.54
41200,5.11,21,0.0500,100000,4.74,2299.55,3281.75
41300,3.86,14,0.0500,100000,4.00,2303.55,3273.92
41400,4.46,17,0.0500,100000,4.24,2307.79,3266.45
41500,4.88,17,0.0500,100000,5.03,2312.82,3260.11
41600,4.76,14,0.0500,100000,4.67,2317.49,3253.26
41700,3.84,14,0.0500,100000,3.96,2321.45,3245.44
41800,4.03,15,0.0500,100000,4.04,2325.49,3237.75
41900,4.31,15,0.0500,100000,4.13,2329.63,3230.21
42000,5.32,16,0.0500,100000,4.86,2334.49,3223.68
42100,4.57,20,0.0500,100000,4.43,2338.92,3216.57
42200,5.21,19,0.0500,100000,5.49,2344.40,3210.92
42300,4.21,15,0.0500,100000,4.04,2348.45,3203.31
42400,4.36,17,0.0500,100000,4.13,2352.58,3195.82
42500,4.06,14,0.0500,100000,4.15,2356.73,3188.38
42600,3.81,20,0.0500,100000,3.61,2360.33,3180.22
42700,4.73,17,0.0500,100000,4.50,2364.83,3173.29
42800,4.32,16,0.0500,100000,4.19,2369.02,3165.95
42900,4.24,16,0.0500,100000,4.04,2373.06,3158.42
43000,4.72,13,0.0500,100000,4.57,2377.63,3151.62
43100,4.75,22,0.0500,100000,4.37,2382.01,3144.56
43200,3.76,15,0.0500,100000,3.70,2385.70,3136.63
43300,4.23,20,0.0500,100000,4.17,2389.87,3129.34
43400,4.29,16,0.0500,100000,4.72,2394.59,3122.78
43500,3.95,14,0.0500,100000,3.83,2398.42,3115.06
43600,4.68,15,0.0500,100000,4.49,2402.91,3108.22
43700,4.64,17,0.0500,100000,4.65,2407.56,3101.61
43800,4.32,18,0.0500,100000,4.37,2411.93,3094.63
43900,4.37,22,0.0500,100000,4.57,2416.50,3087.93
44000,3.87,13,0.0500,100000,4.04,2420.54,3080.56
44100,4.38,17,0.0500,100000,5.18,2425.71,3074.64
